username,repo_name,repo_url,stars
mrdoob,three.js,https://github.com/topicsthree.js,101000
pmndrs,react-three-fiber,https://github.com/topicsreact-three-fiber,26800
libgdx,libgdx,https://github.com/topicslibgdx,23000
BabylonJS,Babylon.js,https://github.com/topicsBabylon.js,22800
ssloy,tinyrenderer,https://github.com/topicstinyrenderer,19900
FreeCAD,FreeCAD,https://github.com/topicsFreeCAD,18400
lettier,3d-game-shaders-for-beginners,https://github.com/topics3d-game-shaders-for-beginners,17500
aframevr,aframe,https://github.com/topicsaframe,16500
CesiumGS,cesium,https://github.com/topicscesium,12500
blender,blender,https://github.com/topicsblender,12300
MonoGame,MonoGame,https://github.com/topicsMonoGame,11100
mapbox,mapbox-gl-js,https://github.com/topicsmapbox-gl-js,10900
isl-org,Open3D,https://github.com/topicsOpen3D,10900
metafizzy,zdog,https://github.com/topicszdog,10300
timzhang642,3D-Machine-Learning,https://github.com/topics3D-Machine-Learning,9600
nerfstudio-project,nerfstudio,https://github.com/topicsnerfstudio,9000
4ian,GDevelop,https://github.com/topicsGDevelop,8100
a1studmuffin,SpaceshipGenerator,https://github.com/topicsSpaceshipGenerator,7600
FyroxEngine,Fyrox,https://github.com/topicsFyrox,7500
domlysz,BlenderGIS,https://github.com/topicsBlenderGIS,7500
